Date,Dry,Average,Wet
1-Jan,1,4,8
2-Jan,1,4,8
3-Jan,1,4,8
4-Jan,1,4,8
5-Jan,1,4,8
6-Jan,1,4,8
7-Jan,1,4,8
8-Jan,1,4,8
9-Jan,1,4,8
10-Jan,1,4,8
11-Jan,1,4,8
12-Jan,1,4,8
13-Jan,1,4,8
14-Jan,1,4,8
15-Jan,1,4,8
16-Jan,1,4,8
17-Jan,1,4,8
18-Jan,1,4,8
19-Jan,1,4,8
20-Jan,1,4,8
21-Jan,1,4,8
22-Jan,1,4,8
23-Jan,1,4,8
24-Jan,1,4,8
25-Jan,1,4,8
26-Jan,1,4,8
27-Jan,1,4,8
28-Jan,1,4,8
29-Jan,1,4,8
30-Jan,1,4,8
31-Jan,1,4,8
1-Feb,1,4,8
2-Feb,1,4,8
3-Feb,1,4,8
4-Feb,1,4,8
5-Feb,1,4,8
6-Feb,1,4,8
7-Feb,1,4,8
8-Feb,1,4,8
9-Feb,1,4,8
10-Feb,1,4,8
11-Feb,1,4,8
12-Feb,1,4,8
13-Feb,1,4,8
14-Feb,1,4,8
15-Feb,1,4,8
16-Feb,1,4,8
17-Feb,1,4,8
18-Feb,1,4,8
19-Feb,1,4,8
20-Feb,1,4,8
21-Feb,1,4,8
22-Feb,1,4,8
23-Feb,1,4,8
24-Feb,1,4,8
25-Feb,1,4,8
26-Feb,1,4,8
27-Feb,1,4,8
28-Feb,1,4,8
1-Mar,1,4,8
2-Mar,1,4,8
3-Mar,1,4,8
4-Mar,1,4,8
5-Mar,1,4,8
6-Mar,1,4,8
7-Mar,1,4,8
8-Mar,1,4,8
9-Mar,1,4,8
10-Mar,1,4,8
11-Mar,1,4,8
12-Mar,1,4,8
13-Mar,1,4,8
14-Mar,1,4,8
15-Mar,1,4,8
16-Mar,1,4,8
17-Mar,1,4,8
18-Mar,1,4,8
19-Mar,1,4,8
20-Mar,1,4,8
21-Mar,1,4,8
22-Mar,1,4,8
23-Mar,1,4,8
